EXTRACTDATE,ORGANISATIONURI,ORGANISATIONLABEL,SERVICETYPEURI,SERVICETYPELABEL,LOCATIONTEXT,COORDINATEREFERENCESYSTEM,GEOX,GEOY,GEOPOINTLICENSINGURL,CATEGORY,ACCESSIBLECATEGORY,RADARKEYNEEDED,BABYCHANGE,FAMILYTOILET,CHANGINGPLACE,AUTOMATICPUBLICCONVENIENCE,FULLTIMESTAFFING,PARTOFCOMMUNITYSCHEME,COMMUNITYSCHEMENAME,CHARGEAMOUNT,INFOURL,OPENINGHOURS,MANAGEDBY,REPORTEMAIL,REPORTTEL,NOTES,UPRN,POSTCODE,STREETADDRESS,GEOAREAURL,GEOAREALABEL
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Junction of St Anselms Rd and Station Road Hayes Middlesex UB3 4ZZ,OSGB36,509810,179682,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,Unisex,FALSE,,FALSE,FALSE,TRUE,FALSE,,,0.10,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01895 250111,,10022800086,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Linden Close Car Park Ruislip Middlesex HA4 8ZZ,OSGB36,510172,187157,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,,,,FALSE,FALSE,TRUE,FALSE,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01895 250111,,10090331108,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/581,Public toilets,Public Convenience Little Britain Lane Packet Boat Lane Uxbridge,OSGB36,504979,181067,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01895 250111,,10090332151,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Near Hatton Cross Station Hatton Road South London Heathrow Airport Heathrow Middlesex TW6 3RE,OSGB36,509651,175429,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,Unisex,FALSE,,FALSE,FALSE,TRUE,FALSE,,,0.10,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01895 250111,,10090331105,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Northwood Bowls Club Chestnut Avenue Northwood Middlesex,OSGB36,509653,190514,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01895 250111,,10090329908,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Oaklands Gate Car Park Northwood Middlesex HA6 3AA,OSGB36,509113,191560,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,Unisex,FALSE,,FALSE,FALSE,TRUE,FALSE,,,0.10,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01896 250111,,10090331107,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Scout Camping Site Mad Bess Wood Ducks Hill Road Northwood Middlesex,OSGB36,507734,189085,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01896 250111,,10090329880,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Site Pole Hill Open Space Grosvenor Crescent Uxbridge Middlesex,OSGB36,508338,183524,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01895 250111,,10090329579,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Taylors Meadow Hill End Road Harefield Middlesex,OSGB36,505282,191287,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01895 250111,,10022805203,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Warrender Park Lime Grove Ruislip Middlesex,OSGB36,510653,187710,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01896 250111,,10090329882,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Convenience Woody Bay Ruislip Lido Reservoir Road Ruislip Middlesex,OSGB36,508887,188882,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01895 250111,,10090329333,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Conveniences Adjacent Harefield Library Park Lane Harefield Middlesex UB9 6BJ,OSGB36,505184,190607,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,Unisex,FALSE,,FALSE,FALSE,TRUE,FALSE,,,0.10,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01895 250111,,10022797882,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Conveniences At The Great Barn Manor Farm Complex Bury Street Ruislip Middlesex,OSGB36,508968,187758,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01895 250111,,10091100759,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Conveniences Community Close Ickenham Middlesex,OSGB36,507983,186152,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Unisex,Unisex,FALSE,,FALSE,FALSE,TRUE,FALSE,,,0.10,http://www.hillingdon.gov.uk/article/7566/Public-toilets,24 / 7,,contactcentre1@hillingdon.gov.uk,01895 250111,,10022800452,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Public Conveniences Crown Walk The Pavilions Shopping Centre Uxbridge Middlesex UB8 1SW,OSGB36,505342,184111,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,Female and male,Female and male,FALSE,,FALSE,FALSE,FALSE,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,08:00-20:00,,contactcentre1@hillingdon.gov.uk,01896 250111,,10022800193,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,RUISLIP MANOR LIBRARY  LINDEN AVENUE RUISLIP HA4 9BW,OSGB36,510181,187135,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo-Th 09:00-21:00 ; Fr 09:00-17:30 ; Sa 09:00-17:00 ; Su closed,,contactcentre1@hillingdon.gov.uk,01896 250111,,10022800920,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,SOUTH RUISLIP LIBRARY  VICTORIA ROAD RUISLIP HA4 0JE,OSGB36,511366,185492,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo-Th 09:00-21:00 ; Fr 09:00-17:30 ; Sa 09:00-17:00 ; Su closed,,contactcentre1@hillingdon.gov.uk,01895 250111,,10003002133,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,The Boathouse Public Convenience Ruislip Lido Reservoir Road Ruislip Middlesex,OSGB36,508577,189055,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01896 250111,,10090329330,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Waters Edge Station Public Convenience Reservoir Road Ruislip Middlesex,OSGB36,508643,189164,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01895 250111,,10090329359,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,Woodland Centre Public Convenience Waters Edge Ruislip Lido Reservoir Road Ruislip Middlesex,OSGB36,508643,189164,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,park opening hours,,contactcentre1@hillingdon.gov.uk,01896 250111,,10090329330,,,,
30/08/2016,http://opendatacommunities.org/id/london-borough-council/hillingdon,Hillingdon,http://id.esd.org.uk/service/579,Public toilets,YEADING LIBRARY  YEADING LANE HAYES UB4 0EW,OSGB36,510819,181424,http://www.ordnancesurvey.co.uk/business-and-government/help-andsupport/public-sector/guidance/derived-data-exemptions.h,,,,,,,,,,,0.00,http://www.hillingdon.gov.uk/article/7566/Public-toilets,Mo-We 09:00-18:00 ; Th 09:00-19:00 ; Fr 09:00-18:00 ; Sa 09:00-17:00 ; Su closed,,contactcentre1@hillingdon.gov.uk,01896 250111,,100023417063,,,,
